estabelecimento_referencia,position,title,rating,reviews,type,thumbnail,latitude,longitude
Caffé Ristoro,3,Café Mestiço,4.6,417,"['Cafe', 'Coffee shop']",https://lh5.googleusercontent.com/p/AF1QipMwjQvZzkc8ITJMl7e56W2iwmAPqFYgEmDts3_2=w156-h156-n-k-no,-23.5683626,-46.6487867
Caffé Ristoro,4,Café Creme,4.2,3044,"['Gastropub', 'Cafe', 'Cafeteria', 'Cocktail bar', 'Restaurant']",https://lh5.googleusercontent.com/p/AF1QipP01gzPXXvDroGq4xQ62vchXEE9BPbAK_nMLtyc=w156-h156-n-k-no,-23.566387,-46.650942199999996
Caffé Ristoro,5,Sterna Café,4.3,88,"['Coffee shop', 'Cafe']",https://lh5.googleusercontent.com/p/AF1QipOFmys3Dp3Jb2hmnZrS-rjSRMUNHYT0bz4ExNq3=w156-h156-n-k-no,-23.5628133,-46.653711
Waku Waku,1,Starbucks,2.3,6,['Coffee shop'],http://www.google.com/maps/vt/data=E3LICCtmf4D7TuSFLv9J2bDy9645dAUhorEvKA5G3Qs6DJIhz7tcy49udFyWCSXB-WDnK-sdNFwYqjGA1xbXZy9q0BmbfJESxb_99yuwGPtH1vnQRK8-oxWLFbkQyQMeYRz_YYUf3H_gRujzQPJJsSU,-23.5463868,-46.651103899999995
Waku Waku,2,Takkø Café - Vila Buarque,4.4,1478,['Coffee shop'],https://lh5.googleusercontent.com/p/AF1QipMcbH6Cq9QsFVoDja4EHdflZjxZzY4sZGqYe-w6=w156-h156-n-k-no,-23.545541999999998,-46.6495271
Waku Waku,3,Por um Punhado de Dólares,4.6,3721,"['Coffee shop', 'Bar', 'Coffee store', 'Pub', 'Tea store']",https://lh5.googleusercontent.com/p/AF1QipMLNuGIoF_3b4cGpuMiiXdxoCDz4hLJ5XMThyeb=w156-h156-n-k-no,-23.548580899999997,-46.645293699999996
Amor Espresso,1,Ami Café,4.7,67,['Coffee shop'],https://lh5.googleusercontent.com/p/AF1QipM8J2ARlFBMimi0X3gM9lOaYt9joLU7jWF59lmj=w156-h156-n-k-no,-23.565017899999997,-46.654072199999995
Amor Espresso,2,Go Coffee - Alameda Santos,4.3,31,['Cafeteria'],https://lh5.googleusercontent.com/p/AF1QipPyqkRaJe2Ik7Rdl6wXBRZoJjqfNAmBHlW5z6Oe=w156-h156-n-k-no,-23.567256300000004,-46.651327099999996
Amor Espresso,3,Starbucks,4.5,6870,['Coffee shop'],https://lh5.googleusercontent.com/p/AF1QipN5Q7lFjXAx4_fwx72RUnVnOTLRk1jFtSJT2y5k=w156-h156-n-k-no,-23.5658606,-46.6529525
Amor Espresso,4,Amorim Cafés Especiais,5.0,9,['Cafe'],https://lh5.googleusercontent.com/p/AF1QipPbIz0RCKuDwnUARlPYzrlu7uZm56_Ldnnl9EnI=w156-h156-n-k-no,-23.5706244,-46.6573239
Amor Espresso,5,Café Impresso,4.5,42,['Coffee shop'],https://lh5.googleusercontent.com/p/AF1QipOinu9Y0Ci0AZzlSBO62OJcKzV-TSf1Fw53r5ID=w156-h156-n-k-no,-23.568294599999998,-46.6486899
Saint Decor Bistrô,1,Condimento,4.5,2441,"['Bistro', 'Breakfast', 'Coffee shop', 'Coffee store', 'Restaurant']",https://lh5.googleusercontent.com/p/AF1QipOB4mQzY0LTZHPIBJ297O4R6iviwnwGL83HHoWU=w156-h156-n-k-no,-23.550995399999998,-46.565190099999995
Saint Decor Bistrô,2,Striuli Pane Dolce Caffè,4.6,281,"['Cafeteria', 'Coffee shop', 'Dessert']",https://lh5.googleusercontent.com/p/AF1QipMz_L_wrpQpj4bPcU8sj8tqLnN3o_EMb6K7OQad=w156-h156-n-k-no,-23.5531911,-46.5694004
Saint Decor Bistrô,3,"Fran""s Café Analia Franco",4.4,1803,"['Espresso bar', 'Breakfast']",https://lh5.googleusercontent.com/p/AF1QipNef3wKgubRCWXl-mNPrGMamdJrTy9rOTs8CTBU=w156-h156-n-k-no,-23.554173400000003,-46.560843
Saint Decor Bistrô,4,Paris 6 Analia Franco,3.9,118,['Restaurant'],https://lh5.googleusercontent.com/p/AF1QipMoTvc07-UsY0kspBh_hvIJZHsAb1gNUXE-gEsY=w156-h156-n-k-no,-23.561483199999998,-46.560666
