sunday,monday,tuesday,wednesday,thursday,friday,saturday,title
"{'time': '10\u202fPM', 'info': 'Usually not busy', 'busyness_score': 13}","{'time': '10\u202fPM', 'info': 'Usually not busy', 'busyness_score': 10}","{'time': '10\u202fPM', 'info': 'Usually not busy', 'busyness_score': 19}","{'time': '10\u202fPM', 'info': 'Usually not too busy', 'busyness_score': 22}","{'time': '10\u202fPM', 'info': 'Usually not busy', 'busyness_score': 17}","{'time': '10\u202fPM', 'info': 'Usually not too busy', 'busyness_score': 22}","{'time': '10\u202fPM', 'info': 'Usually not busy', 'busyness_score': 19}",Viareggio Ristorante
"{'time': '11\u202fPM', 'busyness_score': 0}","{'time': '11\u202fPM', 'busyness_score': 0}","{'time': '11\u202fPM', 'busyness_score': 0}","{'time': '11\u202fPM', 'busyness_score': 0}","{'time': '11\u202fPM', 'busyness_score': 0}","{'time': '11\u202fPM', 'busyness_score': 0}","{'time': '11\u202fPM', 'busyness_score': 0}",Viareggio Ristorante
"{'time': '5\u202fAM', 'busyness_score': 0}","{'time': '5\u202fAM', 'busyness_score': 0}","{'time': '5\u202fAM', 'busyness_score': 0}","{'time': '5\u202fAM', 'busyness_score': 0}","{'time': '5\u202fAM', 'busyness_score': 0}","{'time': '5\u202fAM', 'busyness_score': 0}","{'time': '5\u202fAM', 'busyness_score': 0}",Letícia - Morumbi
"{'time': '6\u202fAM', 'info': 'Usually not busy', 'busyness_score': 11}","{'time': '6\u202fAM', 'info': 'Usually not too busy', 'busyness_score': 25}","{'time': '6\u202fAM', 'info': 'Usually not busy', 'busyness_score': 13}","{'time': '6\u202fAM', 'info': 'Usually not busy', 'busyness_score': 16}","{'time': '6\u202fAM', 'info': 'Usually not too busy', 'busyness_score': 20}","{'time': '6\u202fAM', 'info': 'Usually not too busy', 'busyness_score': 25}","{'time': '6\u202fAM', 'info': 'Usually not too busy', 'busyness_score': 21}",Letícia - Morumbi
"{'time': '7\u202fAM', 'info': 'Usually not too busy', 'busyness_score': 33}","{'time': '7\u202fAM', 'info': 'Usually not too busy', 'busyness_score': 44}","{'time': '7\u202fAM', 'info': 'Usually not too busy', 'busyness_score': 34}","{'time': '7\u202fAM', 'info': 'Usually not too busy', 'busyness_score': 40}","{'time': '7\u202fAM', 'info': 'Usually not too busy', 'busyness_score': 42}","{'time': '7\u202fAM', 'info': 'Usually a little busy', 'busyness_score': 52}","{'time': '7\u202fAM', 'info': 'Usually not too busy', 'busyness_score': 49}",Letícia - Morumbi
"{'time': '8\u202fAM', 'info': 'Usually a little busy', 'busyness_score': 63}","{'time': '8\u202fAM', 'info': 'Usually not too busy', 'busyness_score': 49}","{'time': '8\u202fAM', 'info': 'Usually a little busy', 'busyness_score': 53}","{'time': '8\u202fAM', 'info': 'Usually a little busy', 'busyness_score': 61}","{'time': '8\u202fAM', 'info': 'Usually a little busy', 'busyness_score': 55}","{'time': '8\u202fAM', 'info': 'Usually a little busy', 'busyness_score': 67}","{'time': '8\u202fAM', 'info': 'Usually as busy as it gets', 'busyness_score': 81}",Letícia - Morumbi
"{'time': '9\u202fAM', 'info': 'Usually as busy as it gets', 'busyness_score': 83}","{'time': '9\u202fAM', 'info': 'Usually not too busy', 'busyness_score': 39}","{'time': '9\u202fAM', 'info': 'Usually a little busy', 'busyness_score': 54}","{'time': '9\u202fAM', 'info': 'Usually a little busy', 'busyness_score': 63}","{'time': '9\u202fAM', 'info': 'Usually a little busy', 'busyness_score': 51}","{'time': '9\u202fAM', 'info': 'Usually a little busy', 'busyness_score': 59}","{'time': '9\u202fAM', 'info': 'Usually as busy as it gets', 'busyness_score': 100}",Letícia - Morumbi
"{'time': '10\u202fAM', 'info': 'Usually as busy as it gets', 'busyness_score': 84}","{'time': '10\u202fAM', 'info': 'Usually not too busy', 'busyness_score': 32}","{'time': '10\u202fAM', 'info': 'Usually not too busy', 'busyness_score': 43}","{'time': '10\u202fAM', 'info': 'Usually a little busy', 'busyness_score': 56}","{'time': '10\u202fAM', 'info': 'Usually not too busy', 'busyness_score': 40}","{'time': '10\u202fAM', 'info': 'Usually not too busy', 'busyness_score': 44}","{'time': '10\u202fAM', 'info': 'Usually as busy as it gets', 'busyness_score': 97}",Letícia - Morumbi
"{'time': '11\u202fAM', 'info': 'Usually a little busy', 'busyness_score': 71}","{'time': '11\u202fAM', 'info': 'Usually not too busy', 'busyness_score': 38}","{'time': '11\u202fAM', 'info': 'Usually not too busy', 'busyness_score': 45}","{'time': '11\u202fAM', 'info': 'Usually a little busy', 'busyness_score': 54}","{'time': '11\u202fAM', 'info': 'Usually not too busy', 'busyness_score': 46}","{'time': '11\u202fAM', 'info': 'Usually not too busy', 'busyness_score': 45}","{'time': '11\u202fAM', 'info': 'Usually as busy as it gets', 'busyness_score': 82}",Letícia - Morumbi
"{'time': '12\u202fPM', 'info': 'Usually a little busy', 'busyness_score': 60}","{'time': '12\u202fPM', 'info': 'Usually not too busy', 'busyness_score': 49}","{'time': '12\u202fPM', 'info': 'Usually a little busy', 'busyness_score': 65}","{'time': '12\u202fPM', 'info': 'Usually a little busy', 'busyness_score': 60}","{'time': '12\u202fPM', 'info': 'Usually a little busy', 'busyness_score': 65}","{'time': '12\u202fPM', 'info': 'Usually a little busy', 'busyness_score': 59}","{'time': '12\u202fPM', 'info': 'Usually a little busy', 'busyness_score': 69}",Letícia - Morumbi
