title,place_id,sunday,monday,tuesday,wednesday,thursday,friday,saturday
Kabana's Pub Pizza & BurgerBBQ,ChIJa0Cmw8cDz5QR987HC7s63tU,4–11 PM,Closed,6–11 PM,6–11 PM,6–11 PM,6 PM–2 AM,4 PM–2 AM
California Dreams,ChIJ4QgB5aJXzpQREirk8O20g2I,9 AM–9 PM,Closed,9 AM–9 PM,9 AM–9 PM,9 AM–9 PM,9 AM–9 PM,9 AM–9 PM
Mr. Hoppy - Mooca,ChIJu6WzejJfzpQRb3qjcEeQnts,4:30 PM–12 AM,Closed,5:30 PM–12 AM,5:30 PM–12 AM,5:30 PM–12 AM,5:30 PM–1 AM,4:30 PM–1 AM
Smashies Burger,ChIJEYqN2k9XzpQRtIVhvmMsfps,Closed,Closed,11:30 AM–3:30 PM,11:30 AM–3:30 PM,11:30 AM–3:30 PM,11:30 AM–3:30 PM,11:30 AM–6 PM
Hamburgueria,ChIJe16Eiov5zpQR_5UCawxOfcs,,,,,,,
Hamburgueria,ChIJ5a5s2U1bzpQRROZmMpbsyRs,,,,,,,
Cervejaria Dogma Santa Cecília,ChIJA_gxrjhYzpQRvbDBkTuJMBE,2–8 PM,Closed,4–11 PM,4–11 PM,4–11 PM,4–11 PM,12–11 PM
São Paulo Tap House,ChIJq8TnxZdXzpQR9yBrL38oVf4,1–10 PM,Closed,12–11 PM,12–11 PM,12–3 PM,12 PM–1 AM,12 PM–1 AM
Cervejaria São Paulo,ChIJ71fb4V5bzpQRVEppYxGLLUM,Closed,8 AM–7 PM,8 AM–7 PM,8 AM–7 PM,8 AM–7 PM,8 AM–7 PM,8 AM–7 PM
Cervejaria Van der Ale,ChIJmd5ZhTVfzpQRovHmYbzwfls,Closed,Closed,Closed,4:20–11 PM,Closed,4:20–11 PM,3–11 PM
Armazém 77 Brewpub,ChIJ57xZ1FpezpQRmkEOjllPswo,4–9 PM,Closed,Closed,Closed,6–11:30 PM,6–11:30 PM,3–11:30 PM
Cervejoteca,ChIJB0Mv2CVazpQRA_eeVsjUx9A,11 AM–3 PM,11 AM–7 PM,11 AM–7 PM,11 AM–7 PM,11 AM–7 PM,11 AM–8 PM,11 AM–8 PM
Capone Craft Beer Company,ChIJX1iU1aJZzpQRXk3c0nUR0Qs,Closed,Closed,5–11 PM,5–11 PM,5–11 PM,5 PM–12 AM,4 PM–12 AM
Cervejaria Zuraffa,ChIJo-Mg4Z9XzpQR6GbkI0y8h6A,Closed,Closed,Closed,5–10 PM,5–10 PM,12–10 PM,12–10 PM
Cervejaria São Paulo,ChIJm4HXYN5RzpQRbY207lXG17Q,9 AM–6 PM,9 AM–6 PM,9 AM–6 PM,9 AM–6 PM,9 AM–6 PM,Closed,9 AM–6 PM
Tarantino Cervejaria,ChIJadBKcj34zpQRd4pKi1BJxNU,2–8 PM,Closed,Closed,Closed,Closed,Closed,2–11 PM
Cervejaria Taru - Fábrica Bar,ChIJf9W2Cn_5zpQRkUpcVZWulT8,Closed,Closed,5–11 PM,5–11 PM,12–11 PM,12 PM–12 AM,12 PM–12 AM
Cervejaria Perdizes Cerveja Artesanal,ChIJKy2TH0JXzpQRZnHOi03HRsQ,11 AM–9 PM,Closed,Closed,4–11 PM,4–11 PM,12–11 PM,11 AM–11 PM
Cervejaria Riviera,ChIJ6zZK3WlfzpQR6qMDz1ibGGQ,Closed,9 AM–6 PM,9 AM–6 PM,9 AM–6 PM,9 AM–6 PM,9 AM–6 PM,2–10 PM
Croma Beer Co.,ChIJe_q8IklXzpQRVJesZdOolgY,12–9 PM,Closed,12 PM–12 AM,12 PM–12 AM,12 PM–12 AM,12 PM–12 AM,12 PM–12 AM
TRILHA Taproom - Perdizes,ChIJXayMQfpXzpQRSnZyTpq-KII,10 AM–10 PM,11 AM–10 PM,11 AM–10 PM,10 AM–10 PM,10 AM–10 PM,10 AM–11 PM,10 AM–11 PM
Cervejaria EWAM,ChIJyVl7Fy1fzpQRCRBETfGXq28,2–8 PM,Closed,Closed,6–11 PM,6–11 PM,6 PM–1 AM,2 PM–1 AM
Cervejaria Dogma Jardins,ChIJXQD5xANZzpQRAF4G0zPnTgg,12–8 PM,Closed,5–11 PM,5–11 PM,5–11 PM,5–11 PM,12–11 PM
Cervejaria Tome,ChIJmRlrtxVZzpQRJCPpRFd89sw,,,,,,,
Cervejaria Siri Beer,ChIJvfyMBy33zpQRmuRYxG0vGwY,12 PM–2 AM,3 PM–2 AM,4 PM–2 AM,4 PM–2 AM,4 PM–2 AM,11 AM–2 AM,12 PM–3 AM
Cervejaria Oak,ChIJoXj-5KZXzpQRz6N08tVDW9o,10 AM–10 PM,11 AM–6 PM,10 AM–10 PM,10 AM–10 PM,10 AM–12 AM,10 AM–12 AM,10 AM–12 AM
SOMA Cervejaria,ChIJTbarqo1bzpQRWlVJ5Gxn0eA,12–8 PM,Closed,5 PM–12 AM,5 PM–12 AM,5 PM–12 AM,5 PM–1 AM,1 PM–1 AM
Cervejaria Dogma - Itaim Bibi,ChIJ597BJPRXzpQRHZeAYOvaMEc,2–8 PM,Closed,5 PM–12 AM,5 PM–12 AM,5 PM–12 AM,5 PM–12 AM,12 PM–12 AM
Grandparents House Craft Beer,ChIJ63_mXX_4zpQRQV9u3X4Aj5Y,12–6 PM,Closed,Closed,Closed,6–11 PM,6–11 PM,12 PM–12 AM
Cervejaria Santa Therezinha,ChIJsUwa6Aj0zpQRR43qZPl63aQ,10 AM–4 PM,10 AM–5 PM,10 AM–5 PM,10 AM–5 PM,10 AM–5 PM,10 AM–5 PM,10 AM–5 PM
Bear Bar - Paulista (Cervejaria Colorado),ChIJL3DNoc1ZzpQR1cQiG47Pzdg,12–9 PM,12–11 PM,12–11 PM,12–11 PM,12–11 PM,12–11 PM,12–11 PM
Cervejaria Central Barra Funda,ChIJnz7iE69ZzpQRtH0DemRo8oA,4–10 PM,Closed,Closed,6 PM–12 AM,6 PM–12 AM,6 PM–12 AM,4 PM–1 AM
