Estabelecimento_ID,PolaridadeTexto,PolaridadeValor
ChIJVXNUV6tZzpQRM3RPiQTdE_A,Positivo,0.3629831349206349
ChIJ15ygksCKxZQR2zxTVnMqKWU,Positivo,0.2262341864259477
ChIJ_Wt-6FhYzpQRLlBnD-wM4BM,Positivo,0.3789285714285714
ChIJGRfd7cdTzpQRFCAZW1T5DMg,Positivo,0.479375
ChIJDye1hm1XzpQRKBFhCtivubE,Positivo,0.7553436147186148
ChIJqTYeZPB_mQARQGOMFfZI4RM,Positivo,0.3918366114561767
ChIJg43TZcdZzpQRC0qMKnP2cHI,Positivo,0.5668576388888888
ChIJD2__DH2ZyJQRfGD4vzZtypE,Positivo,0.5210416666666666
ChIJ_51V-DJYzpQRpseSK7jk3Ww,Positivo,0.4458333333333333
ChIJaQN1eIVZzpQReUH_vgfkp7g,Positivo,0.4538839285714285
ChIJY75LawVazpQRwBw8A7VNAKw,Positivo,0.4538839285714285
ChIJnysjGDVYzpQRfZ1zgXaVFOg,Positivo,0.2466145833333333
ChIJcSJWD89QzpQRNScaWb9zcjs,Positivo,0.2229477306547619
ChIJc8VAWdxQzpQRJWAn9tn5zKQ,Positivo,0.2229477306547619
ChIJj67LLE74zpQRvmCzkeSV6bc,Positivo,0.361547619047619
ChIJG7HwmhFazpQR8FYyeympwGI,Positivo,0.3354504870129869
ChIJz1WJvGBYzpQRTAwElrpasmk,Positivo,0.3869255952380952
ChIJm-Y-AmRYzpQRL3FtlulbrAg,Positivo,0.2775351355820106
ChIJ2TuilrBbzpQRcsTmdq633Qc,Positivo,0.9
ChIJ9-ej45xXzpQRAZ6onnQJBro,Positivo,0.3530316250079577
ChIJXxnExT1gmQARn5EyL57pCuM,Positivo,0.2341666666666666
ChIJG9G0Z85bzpQRTwinDTk4dh4,Positivo,0.2375625
ChIJ8yRoGw5azpQRbDOV-n61hew,Positivo,0.4793192762821669
ChIJG4wc-ldIAQcRfV8qt4__BUs,Positivo,0.4972916666666666
ChIJM23eI7X3zpQRqqF4ngu2tus,Positivo,0.407001488095238
ChIJfTZeF_BEzpQRyJY4B09VbbQ,Positivo,0.3700768590856481
ChIJwRm9mo-ZpgAR-1v7Uj_uiMA,Positivo,0.40234375
ChIJzwiN3BZZzpQRj45WoxyIwH4,Positivo,0.466908219818376
ChIJU8gi6YBZzpQRxlK4ReHeSno,Positivo,0.4722284022346344
ChIJWTlQ54VZzpQRrWgEIwjRu5s,Positivo,0.2797081772394272
ChIJxwOpcrBXzpQRXiWqf4Sigtw,Positivo,0.4755233952555381
ChIJVYYHB1JYzpQRYDo8PMx2tOY,Positivo,0.3821614583333333
ChIJVX1PCYNZzpQRWzFZiLxLCHM,Positivo,0.4768306953463203
ChIJL6zyR6ZXzpQRAOwaP8ksrPQ,Positivo,0.547078125
ChIJ6QfZ1UxRzpQRUPUEfN6cc80,Positivo,0.6227006802721088
ChIJGbDeM09XzpQRR3Okpl-5CZw,Positivo,0.4620752429759782
ChIJ50x2TcX3zpQR7OuLiIfIspY,Positivo,0.3697916666666666
ChIJ1_Nc5N9PzpQRQsHC3E1CulM,Positivo,0.3079166666666666
ChIJt6A-LZ1jzpQRg-Ph4jMZdO8,Positivo,0.3079166666666666
ChIJb9PbONRZzpQRf_YPoWL5owM,Positivo,0.1992784429112554
ChIJl3Dfl2r3zpQR6UddU-HMEaw,Positivo,0.7999999999999999
ChIJc60im7hZzpQRdkemOlkvH4w,Positivo,0.1275849738043365
ChIJae-yBIzFsY4Rr8U0LYwm1HE,Positivo,0.3131652866809117
ChIJSxYl_11ZzpQR_tqieOCeVVU,Positivo,0.2095258445258445
ChIJb2y9qlxZzpQRa7PgvWDngs8,Positivo,0.2221355685131195
ChIJFd1_21hD65QR2gUR2O0ciUU,Positivo,0.476875
ChIJUfXALND3zpQRq1PODPZ_J04,Positivo,0.4195525568181818
ChIJYSrtxaFQzpQRSfalfPY_uqA,Positivo,0.2994168956043956
ChIJuWhPG1pXzpQR8RbxXQSSEFk,Positivo,0.4192144510582011
ChIJQRFkjOVazpQRQKj2RHBhb9k,Positivo,0.6236328125
ChIJEY3BLZnJzJQRZNlDmcuhQBk,Positivo,0.4596969696969696
ChIJIQdQJatZzpQR4cZPIILajHs,Positivo,0.3571759259259259
ChIJK3HKSBj2zpQRuZm9xQYQ_Tg,Positivo,0.4375
ChIJadWy0X_3zpQR1JndmyJ7R8k,Positivo,0.5642261904761905
ChIJ2a5ictd1K4cRV8FUmMRO3ys,Positivo,0.4610913986806844
ChIJ7XxVOPvwzpQRSQTd2jItJfI,Positivo,0.5645833333333333
ChIJ6-cyK_f5zpQR4Plcc9izCSE,Positivo,0.4011149088541667
ChIJCaUFxsxZzpQRQO93YKHQBz0,Positivo,0.3813020833333334
ChIJzSvBYhpZzpQRI24qgusn5VI,Positivo,0.3753763521634615
ChIJiY8sb6tZzpQRi2tTGcxxWUQ,Positivo,0.4256488095238095
ChIJa1XC_gFZzpQR6ZbaEJ55900,Positivo,0.5161830357142857
ChIJYwEBwJ1XzpQRWrGNAyfOyHo,Positivo,0.3179615534205378
ChIJ1_uDFb38FAsRkWoZgNBhdnA,Positivo,0.5013948567708333
ChIJU4b7UqtZzpQRTGccgq_JJWQ,Positivo,0.3029427846459096
ChIJabMAAKlZzpQRmiHcuY1771E,Positivo,0.3219696669071669
ChIJQekODKxbzpQRCbNJDHm5LAE,Positivo,0.4935911305316547
ChIJ8wpVIzVYzpQRGP82E0Wjc9g,Positivo,0.1599937608506944
ChIJq6p6oD_amwAR0Cmb6kUgFe0,Positivo,0.1599937608506944
ChIJ3QoilSRYzpQR1vWdCJ0kKY0,Positivo,0.3810532407407407
ChIJI5G0TnsNxpQRfN5NQXDiVAw,Positivo,1.0
ChIJWdNCY2umsJQRB8yypZ9aMXw,Positivo,0.5742390873015873
ChIJeW1KK5tZzpQR-Z7D35FgGpU,Positivo,0.3090792410714286
ChIJyesOOjZbzpQRkDFW9NMCOIk,Positivo,0.3129065205627706
ChIJocgmU_RZzpQRWPUVM6aHnOw,Positivo,0.2249142784299034
ChIJ9YKDgBdYzpQRwOecNXscrg8,Positivo,0.466852195423624
ChIJS3smUH9ZzpQRGXtPX_lvbAg,Positivo,0.4208940521284271
ChIJY3PsVJ1azpQRGdQHFE54LDw,Positivo,0.4254166666666666
ChIJ6_wazeZQzpQRfElnUnYcUtQ,Positivo,0.6125
ChIJXRRQpS1ZzpQRDXGIYlNyndk,Positivo,0.3896800595238095
ChIJ30hraeFXzpQR1X65hn9OzvU,Positivo,0.5152954545454546
ChIJRaFStX_3zpQRThV2HlXqcU4,Positivo,0.4149899202105084
ChIJIcbzSZZXzpQRrchVuCOmTuM,Positivo,0.2536179159347872
ChIJ9-KThDtYzpQRkkwbcRJrwGk,Positivo,0.2536179159347872
ChIJ1b3-I_5ZzpQRt3SmT8fpi8Y,Positivo,0.2536179159347872
ChIJJQkuGNVZzpQR1Qx5UVbG1zs,Positivo,0.2536179159347872
ChIJgx608EpYzpQRBtllqI9avlo,Positivo,0.3358854166666666
ChIJQ3-bzK1WzpQRDLc5bXw4Wpc,Positivo,0.5554568452380952
ChIJH6pXT5JZzpQR_19lhyyTY-4,Positivo,0.3264583333333333
ChIJtTnRlkq5uZQRV2szibPNFRk,Positivo,0.5248484848484849
ChIJgf7HuX9QzpQRuVZb8Ys6DhM,Positivo,0.3813888888888889
ChIJDTZlRxj2zpQRYjeMomQ0daI,Positivo,0.4125
ChIJMfAmvCZbzpQRH6301mbFzL4,Positivo,0.4279492984693878
ChIJK1V7c4lbzpQRDE44LnyW-xc,Positivo,0.4117774283008658
ChIJ26F_ILX3zpQRpg7bC96z82I,Positivo,0.4817708333333333
ChIJxd1brrVbzpQRyGBNe4zeyo0,Positivo,0.3126542325085811
ChIJWz3R7e_3zpQRv3DnEFLTS9E,Positivo,0.2334871794871794
ChIJhxu-OBRZzpQRRk2Bwv_hqC8,Positivo,0.429108195045695
ChIJj5IGUxz3zpQRQdEZr1Ou6U4,Positivo,0.6341145833333334
ChIJ99SAg05YzpQRbpPmmFrnhLk,Positivo,0.4992943948412698
ChIJJ45OI2hXzpQRXJl5Lij_BSw,Positivo,0.5966145833333333
ChIJLWPYIeL3zpQRRVNIvvQ7Tbg,Positivo,0.4505249669312169
ChIJ-XCzDeNbzpQR88iE0Iv7hgE,Positivo,0.4660769498771731
ChIJoU3JAmNezpQRI-2wOMJPEY0,Positivo,0.473110119047619
ChIJEyape9D3zpQRqvrahzLve7M,Positivo,0.4435509672619048
ChIJnSHUSS_2zpQRqEeESQh-US4,Positivo,0.4435509672619048
ChIJKVJnqxBazpQReldqd4ZMAV0,Positivo,0.6406627747252747
ChIJ1YvDGsRZzpQRhisI0jWDj2A,Positivo,0.637604767917268
ChIJRfFAPk32zpQRLdq_Jmls010,Positivo,0.2712415996141539
ChIJE0S6Qtb5zpQR1DpUH6rUPdU,Positivo,0.2712415996141539
ChIJJyaqP-FYzpQRRoDL--K_dJ4,Positivo,0.2712415996141539
ChIJgXJWcw7BxokRJQug18HE2xU,Positivo,0.2712415996141539
ChIJbbohXmhRzpQR7937AaIXfUI,Positivo,0.2712415996141539
ChIJ9QYzCCNRzpQRfDD129kxnP4,Positivo,0.3273811026936027
ChIJe5d1ZMJZzpQRDBPnvPrY0DY,Positivo,0.4479045917913105
ChIJ_Tr6459FzpQRFOey4KLDeow,Positivo,0.1222786458333333
ChIJm5Pbhsv3zpQR1Ed8m--ds1s,Positivo,0.6064583333333333
ChIJkXCcxo1YzpQRKC6ZmCwkEzc,Positivo,0.3874375
ChIJGd2l-QH4zpQR231Rg4ruJLk,Positivo,0.91
ChIJMwbG4VJZzpQReTT-tYDCxvU,Positivo,0.4214913194444444
ChIJHykXLbFZzpQRH2-P6Ewsiw4,Positivo,0.3519846126818783
ChIJEchOMJf3zpQRa1N7XuM2dN0,Positivo,0.3516666666666667
ChIJh_c911FazpQRbu4HdZMqgVs,Positivo,0.4160796049188906
ChIJ_RL4ZmdXzpQRTVjvYd56_kM,Positivo,0.4900809594671201
ChIJF5zUT9T5zpQRSSajaXHy2CQ,Positivo,0.6793098958333333
ChIJxRFEFEBXzpQRHeWNJX73-4s,Positivo,0.4079110299422799
ChIJM497jDtYzpQRPO5yrikhqTE,Positivo,0.3270912247474747
ChIJAQDMvNVZzpQRrwqLrcpWOe4,Positivo,0.4582094494047619
