Estabelecimento_ID,inicio,fim,madrugada,manha,tarde,noite,inicio_periodo,fim_periodo
ChIJw8A9BFFYzpQRyf3Mmt8uwq4,12:0,20:0,0,0,100,17,tarde,noite
ChIJRx3ClMdWzpQRW8n_1_Lphm8,11:30,23:30,0,7,100,76,manha,noite
ChIJX5TN42hXzpQRBeNZ59YSKNE,12:0,15:0,0,0,43,0,tarde,tarde
ChIJPcPs0lQQyZQRf1Ql9KEBODE,11:0,23:0,0,15,100,68,manha,noite
ChIJMX0Nd4jfmwARmxVWsfSggPs,9:0,24:0,0,49,100,85,manha,noite
ChIJq6oGJ-H3zpQRezSvQ3j94Lw,11:0,24:0,0,15,100,85,manha,noite
ChIJjScwFkT1zpQR9IoSNwF5VTc,12:0,15:30,0,0,51,0,tarde,tarde
ChIJwel_9pxdzpQRmMcgiLb9tZk,8:0,22:0,0,66,100,51,manha,noite
ChIJlz-f8BpYzpQRRuDF8CBSnAE,11:30,24:0,0,7,100,85,manha,noite
ChIJa0t8x49XzpQRD14YlFxwq7g,12:0,24:0,0,0,100,85,tarde,noite
ChIJu-gx2e9hmQARCfg2LKfBVmM,10:0,15:0,0,32,43,0,manha,tarde
ChIJQaA7JiJazpQRJiXU_qDLdJ0,12:0,15:0,0,0,43,0,tarde,tarde
ChIJz36TCeJZzpQR4vkgCNah0Dw,12:0,1:0,0,0,100,85,tarde,madrugada
ChIJF4g6k0xYzpQRt-eBJ-ets84,12:0,15:0,0,0,43,0,tarde,tarde
ChIJWZPI3VdXzpQR_CepIUcb0to,11:30,24:0,0,7,100,85,manha,noite
ChIJTygCU5_1zpQRJCxxsiXSTqM,5:30,24:0,8,100,100,85,madrugada,noite
ChIJpWMvtFbPyJQROBgvdL4VMaI,12:0,15:0,0,0,43,0,tarde,tarde
ChIJv5CU_kFXzpQRAD-4fc89qPA,12:0,15:0,0,0,43,0,tarde,tarde
ChIJq6r-cw8DzpQRAYqmeLgqpCI,12:0,15:0,0,0,43,0,tarde,tarde
ChIJn_vck47j3JQRAp0-oujzOFg,12:0,16:0,0,0,58,0,tarde,tarde
ChIJtzPt_47j3JQRAUmR8xhZOdA,11:30,16:0,0,7,58,0,manha,tarde
ChIJ78fhdpCKzpQRRYzvCqiKt0g,12:0,15:0,0,0,43,0,tarde,tarde
ChIJbzGqHDFYzpQR2Kw1Tf1PtzM,12:0,15:0,0,0,43,0,tarde,tarde
ChIJP-UPbzRYzpQRdxqmmSZbSY4,12:0,15:30,0,0,51,0,tarde,tarde
ChIJb3DBGe9bzpQRIXK1vMiJCgY,12:0,15:0,0,0,43,0,tarde,tarde
ChIJJe5aAvhbzpQRG--n0g6O0hU,12:0,23:30,0,0,100,76,tarde,noite
ChIJMSQ2sEFRzpQRTPlxQHw7bxQ,18:30,10:30,0,0,6,85,tarde,manha
ChIJ6zbQyyoZ35QRsn9HXi1ix1w,11:0,14:30,0,15,36,0,manha,tarde
ChIJH5Va0nlXzpQR2ObHRfI06xI,12:0,15:0,0,0,43,0,tarde,tarde
ChIJk53J9_PL2JQRORVNSJY8w8Q,11:0,14:0,0,15,29,0,manha,tarde
ChIJuWw_My3PyJQRXiQjcjwoGx0,11:0,15:0,0,15,43,0,manha,tarde
ChIJMeJf3xq9pgAR_XIq15X8UlI,12:0,15:30,0,0,51,0,tarde,tarde
ChIJ_Qdn5dZZzpQRWJ5lDWdVmSY,12:0,15:0,0,0,43,0,tarde,tarde
ChIJAVpUeQxZzpQR0ebg-yitws4,12:0,16:0,0,0,58,0,tarde,tarde
ChIJ5zcZVEdXzpQRQT0a7CLIh0U,11:45,15:30,0,3,51,0,manha,tarde
ChIJtbAMutDQ7JQRAtEcqAMIU4I,11:0,14:30,0,15,36,0,manha,tarde
ChIJ050Ozyjk3JQRuwiwNz-6s14,11:30,14:24,0,7,35,0,manha,tarde
ChIJe3Hs4ATVmwARsLPcaC--ux8,12:0,24:0,0,0,100,85,tarde,noite
ChIJL5q_pZdXzpQRTUa5vyc5d_Q,12:0,22:0,0,0,100,51,tarde,noite
ChIJjZJPDlTVmwARJnson9A3CG4,18:30,10:30,0,0,6,85,tarde,manha
ChIJ72rPsfx_mQARt0zL7AMz0OY,12:0,23:55,0,0,100,83,tarde,noite
ChIJqfX1U9Qe35QRDvpdHhKVQPA,,,0,0,0,0,,
ChIJBx3XaxNXzpQRQnKb57xyDEY,12:0,16:0,0,0,58,0,tarde,tarde
ChIJl9cmu64dzpQRIYAxRQqauf0,11:0,24:0,0,15,100,85,manha,noite
ChIJe5d1ZMJZzpQRDBPnvPrY0DY,12:0,16:0,0,0,58,0,tarde,tarde
ChIJO_UYIddZzpQRQVkwf6sCJVc,12:0,23:30,0,0,100,76,tarde,noite
ChIJaZP3ih8LpAARxu-bFgePUy0,11:30,22:30,0,7,100,59,manha,noite
ChIJ85TN9BFazpQRi_sXK84nr6k,12:0,24:0,0,0,100,85,tarde,noite
ChIJ7TA96cJQzpQRgbxpzHnOl04,11:30,15:0,0,7,43,0,manha,tarde
ChIJ719_w5zbmwAR_f3J1Srh1_s,12:0,23:30,0,0,100,76,tarde,noite
ChIJmdCXtbK32JQRGeIHamnST7E,12:0,24:0,0,0,100,85,tarde,noite
ChIJW_nBToynsJQRRJsKcph13is,,,0,0,0,0,,
ChIJ6VTodMNZzpQRPpJzkKiI9to,12:0,17:0,0,0,72,0,tarde,tarde
ChIJu0h_vBACzpQR5oPg1cBax4w,11:30,15:0,0,7,43,0,manha,tarde
ChIJYekTs_dZzpQRQChNY4Exj1k,11:30,2:0,0,7,100,85,manha,madrugada
ChIJHdHkh_aDmQAR9WUEFFVvyBw,18:0,22:30,0,0,13,59,tarde,noite
ChIJGzxR4g3_zpQRnVTIxRvYPkQ,7:0,15:30,0,83,51,0,manha,tarde
ChIJKbHAmQbVmwARS6v8RFPerJs,11:0,19:0,0,15,100,0,manha,noite
ChIJf1Lls4cBz5QRb8Iocia7rbk,5:40,21:0,5,100,100,34,madrugada,noite
ChIJc_dvlTCB0pQRkenZ1t6DQN8,13:0,22:0,0,0,86,51,tarde,noite
ChIJFQdL95NezpQRNVb51MFQ-ps,12:0,15:30,0,0,51,0,tarde,tarde
ChIJxSQwQF5XzpQRX2VbgRBA4GY,11:30,15:0,0,7,43,0,manha,tarde
ChIJwRDt_XhMmAAR2Ov6CKnryTk,9:30,18:0,0,41,87,0,manha,tarde
ChIJlxuwAramzZQRfyoTTUqUb5g,6:30,24:0,0,92,100,85,manha,noite
ChIJ_8iJ3-p_mQARj22svCC6BBU,11:0,22:0,0,15,100,51,manha,noite
ChIJKRUBl9ZZzpQRo4N6odTPPeM,10:30,1:0,0,24,100,85,manha,madrugada
ChIJXxfMXLPVmwARuO3YC_0Jd_A,12:0,1:0,0,0,100,85,tarde,madrugada
ChIJ7-DihENXzpQRu2KD_QcYvpQ,7:0,18:0,0,83,87,0,manha,tarde
ChIJ430S80ZZzpQR1UOJMRTY3EA,12:0,22:30,0,0,100,59,tarde,noite
ChIJv5KmTezQ7JQRUC_dKNkZqkU,10:30,18:0,0,24,87,0,manha,tarde
ChIJ5abFEAtVlgARu-AkAdXLV3A,13:0,23:0,0,0,86,68,tarde,noite
ChIJlfjyU9v_0ZQRIuyWWkv4W1g,11:0,2:0,0,15,100,85,manha,madrugada
ChIJi_801TX2zpQRCFI2pF7_4IU,12:0,15:30,0,0,51,0,tarde,tarde
ChIJe3cY4M1ZzpQRAsQpeMVzkXk,10:0,18:0,0,32,87,0,manha,tarde
ChIJ-7uLTERXzpQR8d3dw3KgHlU,9:0,23:0,0,49,100,68,manha,noite
ChIJj4FXBGFRzpQR7LXAktHyo8c,11:30,24:0,0,7,100,85,manha,noite
ChIJCaUFxsxZzpQRQO93YKHQBz0,12:0,16:0,0,0,58,0,tarde,tarde
ChIJKdgB3tJZzpQRPavAu0IR--E,12:0,16:0,0,0,58,0,tarde,tarde
ChIJe6t1Os1ZzpQRs-MxtQ5RziQ,11:0,15:0,0,15,43,0,manha,tarde
