Estabelecimento_ID,sunday,monday,tuesday,wednesday,thursday,friday,saturday,aberto_dia_util,aberto_final_de_semana
ChIJ69t2yUVYzpQRoT6Ye8eQC_o,1,1,1,1,1,1,1,100.0,100.0
ChIJU5UUx1RYzpQRWUs6_yqQFGc,0,1,1,1,1,1,0,100.0,33.3
ChIJATyQmB1ZzpQRgrG-ddlha30,1,1,1,1,1,1,1,100.0,100.0
ChIJ717JOFBYzpQR6ylaW_cggBo,0,1,1,1,1,1,1,100.0,66.7
ChIJtyRW09ZZzpQRLt2nWdS_H1o,1,1,1,1,1,1,1,100.0,100.0
ChIJ3bvo19VZzpQRDgbV9xTNMQI,1,1,1,1,1,1,1,100.0,100.0
ChIJhayspCtZzpQRysss1ZYGss8,1,1,1,1,1,1,1,100.0,100.0
ChIJ8XrTtFVYzpQRDJU8eGeZlOA,0,1,1,1,1,1,1,100.0,66.7
ChIJaRlcGqtZzpQRnipueKeTtgk,0,1,1,1,1,1,1,100.0,66.7
ChIJg8lW78VZzpQRUOB-PuB-VpQ,1,1,1,1,1,1,1,100.0,100.0
ChIJhTti8cBZzpQRWEGjjpBJKfQ,0,1,1,1,1,1,1,100.0,66.7
ChIJO_6vhBdZzpQR9h2_WlFZjGs,1,0,1,1,1,1,1,75.0,100.0
ChIJKcc_OnZXzpQRuFATIPXZLTM,1,0,1,1,1,1,1,75.0,100.0
ChIJxTgZX2dYzpQRuvxRC1Z7Ojg,0,1,1,1,1,1,1,100.0,66.7
ChIJF7LxsbZZzpQRM6yZAVVQdaw,1,0,1,1,1,1,1,75.0,100.0
ChIJ0bq1lERZzpQRklYezfECWAI,1,1,1,1,1,1,1,100.0,100.0
ChIJ2_80jNpZzpQRSl18QEL4OpY,1,0,1,1,1,1,1,75.0,100.0
ChIJybrdbVZZzpQREIC6U89b0ao,1,1,1,1,1,1,1,100.0,100.0
ChIJyyujYHf4zpQRZaGRWU7ZhmY,1,0,0,1,1,1,1,50.0,100.0
ChIJ1z605XdZzpQR-RnkFqONWrc,0,1,1,1,1,1,1,100.0,66.7
ChIJtQYSsqxZzpQRNBozG6nHpLY,0,1,1,1,1,0,0,100.0,0.0
ChIJbcNFLs1ZzpQRwiqazMv-bb4,1,1,1,1,1,1,1,100.0,100.0
ChIJIQcuwPNXzpQRjKZZ6x8rLHo,1,1,1,1,1,1,1,100.0,100.0
ChIJK2e0_ZZZzpQR-2VMPtkTjTU,0,1,1,1,1,1,0,100.0,33.3
ChIJSYUSx6ZXzpQRkHLfqBEAEow,1,0,1,1,1,1,1,75.0,100.0
ChIJ047Tiq5XzpQRKaQB2LWYIrs,0,1,1,1,1,1,0,100.0,33.3
ChIJ5zh94NZZzpQRRKDDOyn6BEY,1,1,1,1,1,1,1,100.0,100.0
ChIJYzoU1PhYzpQRjmYsKF9otzI,1,1,1,1,1,1,1,100.0,100.0
ChIJ_24wa8FZzpQR2qtTCwBXdcM,1,0,1,1,1,1,1,75.0,100.0
ChIJgSfl89VZzpQRY5yT9RYJSXE,1,1,1,1,1,1,1,100.0,100.0
ChIJW2wfydJZzpQRhhJhpOjiVFA,1,1,1,1,1,1,1,100.0,100.0
ChIJP-NxwqZXzpQR9P3yA2ffESw,1,1,1,1,1,1,1,100.0,100.0
ChIJx67-3_RXzpQRllVzn0uYXzc,1,0,1,1,1,1,1,75.0,100.0
ChIJdXzasgZazpQRpNNlEEvxtEY,1,1,1,1,1,1,1,100.0,100.0
ChIJwWg0iMhZzpQRPplLNLkckmY,1,1,1,1,1,1,1,100.0,100.0
ChIJtdgv9e1ZzpQRQlEPEQI8Ho4,0,1,1,1,1,1,0,100.0,33.3
ChIJr2T_gk5YzpQRdN72k-XSuYg,0,1,1,1,1,1,1,100.0,66.7
ChIJ60-iUndezpQRALwR7U30jPE,1,0,1,1,1,1,1,75.0,100.0
ChIJ8W64H1VYzpQR9-MNCeoyoWA,0,1,1,1,1,1,0,100.0,33.3
ChIJJ3m4CTNYzpQRc2d4v_P7pfY,1,1,1,1,1,1,1,100.0,100.0
ChIJa34-aKNZzpQR0-lOxURZxLA,1,1,1,1,1,1,1,100.0,100.0
ChIJp6q6o6hZzpQRvNSOQyRmhnw,1,1,1,0,1,1,1,75.0,100.0
ChIJq8K-mppZzpQRFK99iwMkUjk,1,1,1,1,1,1,1,100.0,100.0
ChIJG6SgAk5YzpQRNIep0gHPiAk,0,1,1,1,1,1,1,100.0,66.7
